model,save_path,in_size,out_size,keep_only,RMSE,MAE,MSE,MAPE,RMSE_by_timestep,MAE_by_timestep,MSE_by_timestep,MAPE_by_timestep,loss,val_loss,columns
V0,../../saved_models/model_V0.202,8,8,None,0.41767262809995587,0.3165419228651935,0.17445042426392404,0.45776440362100207,"0.35653439999959474,0.39182739007514106,0.4384914826737638,0.48872796655548834,0.3975566586992762,0.4000259412761409,0.4401103693757794,0.4147998537153139","0.2931072204056465,0.3095744637947889,0.3342267621083622,0.3545692387852094,0.30228331317742874,0.29951356591606415,0.32729698787559186,0.31176383085845666","0.12711677838307103,0.15352870361309676,0.19227478037743573,0.23885502529346253,0.15805129687613279,0.1600207536938625,0.193697137232085,0.17205891864224582","0.47459264983846194,0.498473259300336,0.4648154990545114,0.45479707751336407,0.42811292221817754,0.43949995520810814,0.44592532518047845,0.4558985406545787","0.1394147276878357,0.09594139456748962,0.06324941664934158,0.04411066696047783,0.041171178221702576,0.0506005585193634,0.05686969310045242,0.05557548627257347,0.046780917793512344,0.03954082727432251,0.036733679473400116,0.0344507209956646,0.034462615847587585,0.03371986374258995,0.03275410458445549,0.033445805311203","0.373103529214859,0.28659874200820923,0.20680764317512512,0.1402842253446579,0.09845875203609467,0.0836787298321724,0.08562362939119339,0.0982830822467804,0.11745627224445343,0.13837753236293793,0.15650324523448944,0.16824987530708313,0.17293019592761993,0.17121431231498718,0.16457884013652802,0.15503911674022675","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53,PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max,VENTO, VELOCIDADE HORARIA (m/s)_max,UMIDADE RELATIVA DO AR, HORARIA (%)_max,VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max"
V0,../../saved_models/model_V0.203,8,8,None,0.4728731130760766,0.3545494367273747,0.22360898107025995,0.4669945869000933,"0.39979607774284315,0.5112066334044176,0.48790240598765205,0.4668149668448689,0.467431278793138,0.5240824638177242,0.45974949094574075,0.45520734617052416","0.31169169835005545,0.3846055060015372,0.36147138370101894,0.33862219952755934,0.3389553603806299,0.4053420532428865,0.3436316616810899,0.3520756309342201","0.15983690377856147,0.26133222203667866,0.23804875776853965,0.21791621327037605,0.2184920003941883,0.2746624288812562,0.21136959442486775,0.2072137280076114","0.5044032971847362,0.4803091912336579,0.46053131452915147,0.4136485162187899,0.4380621589002005,0.4930722098106949,0.4566002135591222,0.4893297937643935","0.12994349002838135,0.08966179937124252,0.06047724932432175,0.041511692106723785,0.04026523232460022,0.04821310192346573,0.05650468170642853,0.05291812866926193,0.046257298439741135,0.03917992487549782,0.03649961203336716,0.034119900315999985,0.03476475924253464,0.0328337624669075,0.03268485888838768,0.03294674679636955","0.3734782934188843,0.2913234233856201,0.21363602578639984,0.14848589897155762,0.10748670250177383,0.09247362613677979,0.09433688968420029,0.10624131560325623,0.12454643100500107,0.1442083865404129,0.16071857511997223,0.17162497341632843,0.17603176832199097,0.17450089752674103,0.168752983212471,0.1606878787279129","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53,PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max,VENTO, VELOCIDADE HORARIA (m/s)_max,UMIDADE RELATIVA DO AR, HORARIA (%)_max,VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max"
V0,../../saved_models/model_V0.204,8,8,None,0.4502354129054892,0.3374588344225876,0.20271192703417634,0.46739481505733704,"0.372066162137874,0.37919670214068346,0.5008289474372392,0.5430978083437215,0.4549441381337421,0.457681791184915,0.4078102666419666,0.4592724463203836","0.2898314910422129,0.3051753342950841,0.3685496878557817,0.39018743807795975,0.34267797934616895,0.3510989746287373,0.30169375440502816,0.35045601572972823","0.13843322900800678,0.14379013891437023,0.25082963459109286,0.29495522942775365,0.20697416882225342,0.2094726219822321,0.1663092135785919,0.21093117994910965","0.4070176169776483,0.4946417298286113,0.455198143917226,0.5043351366206732,0.5043332957837324,0.46153436316900837,0.4144801130282082,0.49761812113358855","0.1428997814655304,0.09205231815576553,0.055399488657712936,0.039572179317474365,0.04490773752331734,0.05200778692960739,0.0547880083322525,0.049818217754364014,0.04273276776075363,0.03782910108566284,0.03522124141454697,0.03409474715590477,0.033509429544210434,0.03423147648572922,0.034005723893642426,0.032656166702508926","0.3547031879425049,0.2559654116630554,0.17210207879543304,0.11376422643661499,0.09019652009010315,0.08967326581478119,0.10054367780685425,0.1172458603978157,0.13469381630420685,0.14890341460704803,0.15792053937911987,0.16126187145709991,0.15999071300029755,0.15515150129795074,0.14858680963516235,0.14207816123962402","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53,PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max,VENTO, VELOCIDADE HORARIA (m/s)_max,UMIDADE RELATIVA DO AR, HORARIA (%)_max,VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max"
V0,../../saved_models/model_V0.205,8,8,None,0.449095344743256,0.3380213679326402,0.20168662867006398,0.47406024490073895,"0.3672045124651858,0.46999962205558,0.44356716853229367,0.43658665077958564,0.5268421714564204,0.4232636485909802,0.5020310961324211,0.4020503484481162","0.30258771059722595,0.34810013088664143,0.32699851764212573,0.3364861628409577,0.3756816243287207,0.3146358320183146,0.4002174356848449,0.2994635294622912","0.1348391539747948,0.22089964473238802,0.1967518329997562,0.19060790363893587,0.2775626736249163,0.1791521162185488,0.2520352214839203,0.16164448268725168","0.4760850938922387,0.4908743929951432,0.4262473592400423,0.4924374191591983,0.479274118988693,0.4209052169076375,0.5426127452612097,0.4640456127617489","0.1332034021615982,0.08697519451379776,0.05650557577610016,0.04058662801980972,0.04638447239995003,0.0530872568488121,0.05518200248479843,0.04981517046689987,0.044286660850048065,0.039618536829948425,0.03681959956884384,0.035221166908741,0.0345795638859272,0.03348998725414276,0.03307338431477547,0.032559167593717575","0.35287144780158997,0.2564943730831146,0.1735718697309494,0.11468377709388733,0.08870195597410202,0.08622298389673233,0.09710277616977692,0.11542631685733795,0.1351112574338913,0.1519806832075119,0.1628035604953766,0.16707876324653625,0.16543416678905487,0.16007180511951447,0.1528223752975464,0.14548930525779724","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53,PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max,VENTO, VELOCIDADE HORARIA (m/s)_max,UMIDADE RELATIVA DO AR, HORARIA (%)_max,VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max"
V0,../../saved_models/model_V0.206,8,8,None,0.4539470406669219,0.3463556932201585,0.206067915730256,0.4561856833267386,"0.45067574177148156,0.40347169493976087,0.48457962997403575,0.5159611259519027,0.42197561009335477,0.5023033579678242,0.4316691084771936,0.40608089535334563","0.3528801436507303,0.32174405465810346,0.36196358911840354,0.3928778506172542,0.32634292839815954,0.3913441120696563,0.317147295740817,0.306545571508144","0.20310862422127512,0.16278940861756344,0.2348174177857734,0.2662158834935552,0.17806341551365895,0.25230866342575214,0.1863382192134951,0.16490169357097484","0.4639088434140059,0.5085056157830182,0.4244687125258331,0.47026229678287657,0.4680201792721741,0.4736290229937788,0.40730755395609963,0.4333832418861222","0.12581972777843475,0.0835433080792427,0.05329494550824165,0.040786679834127426,0.04438810050487518,0.05145310238003731,0.054668523371219635,0.04866582527756691,0.04486510157585144,0.037396784871816635,0.034773651510477066,0.03315519168972969,0.033134087920188904,0.03308914974331856,0.03344751521945,0.03145945072174072","0.36000898480415344,0.2698619067668915,0.1903918981552124,0.1342078447341919,0.10934782028198242,0.10899104923009872,0.12048190832138062,0.13577191531658173,0.1515853852033615,0.16537532210350037,0.1750219762325287,0.1798098385334015,0.18029026687145233,0.1773318350315094,0.1722356081008911,0.1660221815109253","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53,PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max,VENTO, VELOCIDADE HORARIA (m/s)_max,UMIDADE RELATIVA DO AR, HORARIA (%)_max,VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max"
V0,../../saved_models/model_V0.207,8,8,None,0.46705450894001005,0.3508308731487446,0.21813991432119395,0.46718778774275393,"0.3817908803263988,0.42205597643851495,0.5176399844000079,0.5373012625627843,0.43331768694934414,0.47122779366684736,0.5042917619894483,0.447716381499267","0.29855811414022015,0.3190575466892864,0.38758849201338275,0.4037497846936477,0.3214640732219643,0.3456170295846251,0.3925375760344389,0.33807436881239217","0.14576427630040656,0.1781312472474683,0.26795115344964043,0.2886926467515621,0.1877642178231298,0.22205563352412488,0.25431018121042237,0.2004499582627972","0.4291396076336244,0.4622021035796224,0.5020989517045381,0.4852643242935312,0.4122603269964406,0.43761745054233087,0.5144167061441504,0.49450283104779336","0.11865199357271194,0.07866206765174866,0.05051528662443161,0.0412106029689312,0.046671584248542786,0.05184183642268181,0.04979225993156433,0.045295700430870056,0.03931518271565437,0.03630373254418373,0.03372776135802269,0.0324656181037426,0.03240882232785225,0.03127719461917877,0.03287393972277641","0.32292240858078003,0.2305077463388443,0.15308620035648346,0.10479926317930222,0.08624458312988281,0.0874488577246666,0.09983876347541809,0.11749331653118134,0.1348971575498581,0.14856696128845215,0.1561589390039444,0.15745429694652557,0.153995081782341,0.14768585562705994,0.14069774746894836","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53,PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max,VENTO, VELOCIDADE HORARIA (m/s)_max,UMIDADE RELATIVA DO AR, HORARIA (%)_max,VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max"
V0,../../saved_models/model_V0.208,8,8,None,0.42567908142596406,0.32081553582487604,0.18120268036365256,0.4479244850799159,"0.3794735916968156,0.4378739716118419,0.41885557474072843,0.438743667169931,0.47795180533586695,0.43064416998793675,0.3775287714642969,0.4353519501207623","0.29806980767975694,0.32242191621430594,0.32908295890269373,0.3306598918542707,0.355936994510761,0.32134410109082145,0.27910626630574326,0.3299023500406552","0.14400020679528153,0.19173361501512812,0.17543999249138595,0.1924960054817192,0.22843792822381445,0.18545440114459896,0.14252797328334135,0.1895313204739507","0.428008639877341,0.44568183935130606,0.480502286978629,0.46666445788575917,0.48301963562762196,0.40167282549410027,0.38944835129747474,0.4883978441270943","0.15961894392967224,0.10599714517593384,0.06856552511453629,0.04725702479481697,0.043733712285757065,0.049627408385276794,0.05486701428890228,0.052722588181495667,0.048137810081243515,0.041883841156959534,0.03716733306646347,0.03652084246277809,0.03414452075958252,0.034250110387802124,0.03374241665005684,0.03311026468873024","0.39347752928733826,0.29885998368263245,0.21621231734752655,0.1508251279592514,0.11041190475225449,0.09403953701257706,0.09411228448152542,0.10426201671361923,0.1206555888056755,0.13836610317230225,0.1533246636390686,0.16393518447875977,0.16931341588497162,0.1692550927400589,0.16497233510017395,0.15820550918579102","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53,PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max,VENTO, VELOCIDADE HORARIA (m/s)_max,UMIDADE RELATIVA DO AR, HORARIA (%)_max,VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max"
V0,../../saved_models/model_V0.209,8,8,None,0.4382342729199746,0.3317555995624005,0.19204927796169874,0.44812533645067976,"0.37114951651872025,0.3924705812223837,0.5019429253554814,0.49976647854077855,0.4320884433375764,0.44948915695866515,0.4404881594905423,0.40015637671832605","0.30157267081883415,0.3140262398786117,0.3769217964644834,0.369468585915499,0.3229003706959543,0.33773170892338394,0.33233926998736235,0.2990841538150757","0.13775196361207978,0.1540331571250357,0.25194670031441835,0.24976653307305044,0.18670042286588998,0.2020405022234115,0.19402981865136545,0.16012512582833888","0.5195464411873779,0.4561088170851432,0.46300378405073755,0.4395057658972866,0.4603659210224162,0.4283305248419799,0.4245401536399229,0.3936012838805735","0.11708518117666245,0.07538893073797226,0.05088038370013237,0.0389757975935936,0.043866805732250214,0.05546031519770622,0.055554088205099106,0.04805789515376091,0.040206942707300186,0.03518243506550789,0.03402181714773178,0.03381182998418808,0.03348372131586075,0.032373104244470596,0.03177136927843094,0.032224152237176895","0.33906957507133484,0.250418096780777,0.1726071983575821,0.11758091300725937,0.09298175573348999,0.0921727791428566,0.1037922129034996,0.12224817276000977,0.14274078607559204,0.15984928607940674,0.17109856009483337,0.17586572468280792,0.17466096580028534,0.16957271099090576,0.16180312633514404,0.1534305214881897","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53,PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max,VENTO, VELOCIDADE HORARIA (m/s)_max,UMIDADE RELATIVA DO AR, HORARIA (%)_max,VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max"
V0,../../saved_models/model_V0.210,8,8,None,0.4719537585335496,0.35604297078121017,0.22274035019394406,0.47529577198686934,"0.3911849711067859,0.5263635130036717,0.43864077521206474,0.6378654608865569,0.44863630661933795,0.3973291261530209,0.4507056886827786,0.4362108530538032","0.3052698941470354,0.3956869358258359,0.33386025556430854,0.4921168354496149,0.3337239395839629,0.30008949771808924,0.3427435216206158,0.3448528863402191","0.15302568161981694,0.2770585478215664,0.1924057296786411,0.4068723461920197,0.20127453561704065,0.1578704344895232,0.20313561781101774,0.1902799083219267","0.44394645040059594,0.4940016755362418,0.49099781165665335,0.5760572713644169,0.46823981104586937,0.43346635870123984,0.4285556913643913,0.467101105825546","0.12270831316709518,0.08709216862916946,0.0609491728246212,0.045221440494060516,0.041510630398988724,0.049490880221128464,0.054263900965452194,0.051421619951725006,0.04478060081601143,0.04142521694302559,0.037209559231996536,0.03496658429503441,0.034281037747859955,0.033770181238651276,0.03404160216450691,0.03405201435089111","0.3644421100616455,0.28075987100601196,0.20248936116695404,0.13995032012462616,0.10498097538948059,0.09624384343624115,0.10299171507358551,0.11793631315231323,0.13514307141304016,0.15083393454551697,0.16175304353237152,0.16705042123794556,0.1672513782978058,0.16316211223602295,0.15656854212284088,0.14956341683864594","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53,PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max,VENTO, VELOCIDADE HORARIA (m/s)_max,UMIDADE RELATIVA DO AR, HORARIA (%)_max,VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max"
V0,../../saved_models/model_V0.211,8,8,None,0.44995591863679757,0.335112806200513,0.2024603287162844,0.462701311497028,"0.3721201793290319,0.43982267554007237,0.4693535750893225,0.4721834210622965,0.494995221794267,0.4630296183052367,0.39669679646836686,0.4772108643111979","0.28993517943576114,0.33383103691682564,0.35878455094776784,0.3493025279041482,0.35415075447284644,0.3342672867250231,0.2940228795791407,0.3666082336225908","0.13847342786387087,0.1934439859192278,0.2202927784491283,0.22295718312609397,0.24502026959915563,0.21439642742789317,0.15736834832826488,0.22773020901664054","0.4112250846160606,0.4838749131087025,0.5103674726152074,0.45251111131500305,0.44954930770439305,0.43470896581932034,0.4299077911042158,0.5294658456933208","0.13536763191223145,0.08886716514825821,0.05719940364360809,0.038967929780483246,0.04287062585353851,0.05289694666862488,0.05503607168793678,0.05173448100686073,0.043589185923337936,0.03750065341591835,0.03524573892354965,0.03370599448680878,0.03347763046622276,0.03335995972156525,0.03270125016570091,0.0314827486872673","0.3703290522098541,0.27386608719825745,0.18767541646957397,0.12205050885677338,0.09342373162508011,0.08931419998407364,0.09766135364770889,0.11459840089082718,0.13480915129184723,0.1533394604921341,0.16660793125629425,0.17272986471652985,0.17238567769527435,0.1669885665178299,0.1583511084318161,0.1489846557378769","Alface Crespa - Roça,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)_max,Alface Crespa - Roça_+50,Alface Crespa - Roça_+50,Alface Crespa - Roça_+49,Alface Crespa - Roça_+51,RADIACAO GLOBAL (Kj/m²)_max,Alface Crespa - Roça_+52,Alface Crespa - Roça_+53,PRECIPITAÇÃO TOTAL, HORÁRIO (mm)_max,VENTO, VELOCIDADE HORARIA (m/s)_max,UMIDADE RELATIVA DO AR, HORARIA (%)_max,VENTO, DIREÇÃO HORARIA (gr) (° (gr))_max"
